Universe: 963 kode
Fetch 963 kode (length=900 kalender, workers=8)…
[11:02:09] 50/963 (12s, 0.24s/kode)
[11:02:18] 100/963 (20s, 0.20s/kode)
[11:02:27] 150/963 (30s, 0.20s/kode)
[11:02:37] 200/963 (40s, 0.20s/kode)
[11:02:46] 250/963 (49s, 0.20s/kode)
[11:02:55] 300/963 (58s, 0.19s/kode)
[11:03:04] 350/963 (67s, 0.19s/kode)
[11:03:14] 400/963 (76s, 0.19s/kode)
[11:03:24] 450/963 (87s, 0.19s/kode)
[11:03:35] 500/963 (98s, 0.20s/kode)
[11:03:42] 550/963 (104s, 0.19s/kode)
[11:03:52] 600/963 (115s, 0.19s/kode)
[11:04:03] 650/963 (126s, 0.19s/kode)
[11:04:14] 700/963 (137s, 0.20s/kode)
[11:04:23] 750/963 (146s, 0.19s/kode)
[11:04:33] 800/963 (156s, 0.20s/kode)
[11:04:44] 850/963 (166s, 0.20s/kode)
[11:04:53] 900/963 (176s, 0.20s/kode)
[11:04:56] 950/963 (179s, 0.19s/kode)
Selesai. OK=963/963 fetch_errors=0 short=60
