code,date,streak,days_to_hit,max_gap_pct,close0,density_pct,window_days
BABY,2026-01-02,1,4,13.8554,332.0,33.3,6
BACA,2026-01-02,1,2,18.5841,226.0,100.0,2
HRTA,2026-01-02,1,1,30.2326,2150.0,40.0,5
OPMS,2026-01-02,1,1,130.2158,139.0,37.5,8
WEGE,2026-01-02,1,6,11.4286,70.0,30.0,10
BACA,2026-01-05,2,1,20.7207,222.0,66.7,3
HRTA,2026-01-05,2,5,23.348,2270.0,33.3,6
BACA,2026-01-06,3,2,12.605,238.0,50.0,4
ATAP,2026-01-07,1,3,26.6667,600.0,33.3,6
BABP,2026-01-07,1,4,14.0625,64.0,100.0,2
BCAP,2026-01-07,1,3,12.6984,63.0,100.0,2
CPRO,2026-01-07,1,8,13.8889,72.0,100.0,2
LMAX,2026-01-07,1,2,52.1472,163.0,33.3,6
MINA,2026-01-07,1,2,51.6736,478.0,66.7,3
TMAS,2026-01-07,2,2,10.241,166.0,66.7,3
YOII,2026-01-07,1,10,30.6306,111.0,100.0,2
BABP,2026-01-08,2,3,15.873,63.0,66.7,3
BCAP,2026-01-08,2,2,16.3934,61.0,66.7,3
BGTG,2026-01-08,1,3,11.9718,142.0,100.0,2
CPRO,2026-01-08,2,7,12.3288,73.0,66.7,3
DKFT,2026-01-08,1,5,12.4294,885.0,100.0,2
ECII,2026-01-08,1,8,28.1553,206.0,100.0,2
IATA,2026-01-08,3,1,10.9756,164.0,50.0,4
MHKI,2026-01-08,1,6,21.6,250.0,66.7,3
NICL,2026-01-08,2,2,15.8501,1735.0,50.0,4
OASA,2026-01-08,1,6,58.6022,372.0,66.7,3
RUIS,2026-01-08,1,1,10.0671,298.0,50.0,4
TRON,2026-01-08,3,1,23.5772,246.0,58.8,17
YOII,2026-01-08,2,9,34.2593,108.0,66.7,3
BABP,2026-01-09,3,2,15.873,63.0,50.0,4
BCAP,2026-01-09,3,1,12.6984,63.0,50.0,4
BGTG,2026-01-09,2,2,12.766,141.0,66.7,3
BNBA,2026-01-09,1,5,50.5376,930.0,40.0,5
CPRO,2026-01-09,3,6,13.8889,72.0,50.0,4
ECII,2026-01-09,2,5,30.6931,202.0,66.7,3
MHKI,2026-01-09,2,5,24.5902,244.0,50.0,4
MORA,2026-01-09,1,5,20.7692,13000.0,33.3,6
NICL,2026-01-09,3,4,10.7438,1815.0,40.0,5
OASA,2026-01-09,2,5,55.2632,380.0,50.0,4
OPMS,2026-01-09,2,4,18.5567,194.0,66.7,3
SMGA,2026-01-09,2,10,12.3967,121.0,66.7,3
YOII,2026-01-09,3,8,30.6306,111.0,50.0,4
BNBA,2026-01-12,2,1,57.3034,890.0,33.3,6
DKFT,2026-01-12,3,3,13.0682,880.0,50.0,4
ECII,2026-01-12,3,4,34.6939,196.0,50.0,4
INPC,2026-01-12,3,1,15.1786,224.0,50.0,4
MGLV,2026-01-12,1,4,35.0,2400.0,84.6,13
MHKI,2026-01-12,3,4,31.0345,232.0,40.0,5
NPGF,2026-01-12,1,1,41.9355,62.0,100.0,2
OASA,2026-01-12,3,4,58.6022,372.0,40.0,5
OPMS,2026-01-12,3,3,24.3243,185.0,50.0,4
PBSA,2026-01-12,1,3,45.1187,1895.0,36.4,11
SMGA,2026-01-12,3,9,11.4754,122.0,50.0,4
ASLI,2026-01-13,2,2,16.3934,610.0,50.0,4
DKHH,2026-01-13,1,1,11.1111,99.0,50.0,6
MGLV,2026-01-13,2,2,50.0,2160.0,78.6,14
MINA,2026-01-13,1,1,21.0526,570.0,33.3,6
PBSA,2026-01-13,2,2,50.2732,1830.0,33.3,12
ARGO,2026-01-14,1,1,76.6355,1070.0,43.8,48
ASLI,2026-01-14,3,2,13.6,625.0,40.0,5
NPGF,2026-01-14,1,6,27.5362,69.0,75.0,4
PBSA,2026-01-14,3,1,41.7526,1940.0,30.8,13
ASPR,2026-01-15,1,1,35.4331,127.0,100.0,2
INAI,2026-01-15,1,3,65.0794,189.0,50.0,6
MSKY,2026-01-15,1,3,13.1579,114.0,66.7,3
NPGF,2026-01-15,2,5,27.5362,69.0,60.0,5
DAAZ,2026-01-19,1,3,43.0595,3530.0,50.0,10
INAI,2026-01-19,2,2,68.6486,185.0,42.9,7
MBMA,2026-01-19,1,5,11.6883,770.0,66.7,3
MINA,2026-01-19,1,1,10.8333,600.0,40.0,5
MSKY,2026-01-19,2,2,16.2162,111.0,50.0,4
NPGF,2026-01-19,3,4,29.4118,68.0,50.0,6
ASPR,2026-01-20,1,2,12.4183,153.0,50.0,4
AYLS,2026-01-20,2,10,10.7914,278.0,66.7,3
CHEM,2026-01-20,1,1,15.6522,115.0,100.0,2
DAAZ,2026-01-20,2,1,52.1084,3320.0,45.5,11
ERTX,2026-01-20,1,1,16.1074,298.0,100.0,2
ESTI,2026-01-20,1,1,36.8852,244.0,100.0,2
INAI,2026-01-20,3,1,67.7419,186.0,37.5,8
INOV,2026-01-20,1,1,14.2857,210.0,100.0,2
MBMA,2026-01-20,2,4,11.6883,770.0,50.0,4
MHKI,2026-01-20,1,1,13.4328,268.0,37.5,8
PBSA,2026-01-20,1,1,12.2449,2450.0,100.0,2
ASHA,2026-01-21,1,1,17.0455,88.0,100.0,2
ASPR,2026-01-21,2,1,17.8082,146.0,40.0,5
AYLS,2026-01-21,3,1,22.2222,252.0,50.0,4
BLUE,2026-01-21,1,2,36.1789,4920.0,50.0,4
IKAN,2026-01-21,1,1,19.2,125.0,100.0,2
ISEA,2026-01-21,1,1,10.0917,109.0,100.0,2
ITMA,2026-01-21,1,2,19.4444,2160.0,36.4,11
KICI,2026-01-21,1,3,51.2821,234.0,100.0,2
LPCK,2026-01-21,1,1,77.8626,655.0,100.0,2
ARGO,2026-01-22,2,2,15.8301,1295.0,50.0,4
BLUE,2026-01-22,2,1,38.4298,4840.0,40.0,5
EMAS,2026-01-22,1,2,24.3697,5950.0,100.0,2
ERTX,2026-01-22,3,7,11.8056,288.0,50.0,4
ESTI,2026-01-22,1,1,16.1538,260.0,66.7,3
INAI,2026-01-22,1,1,36.4486,214.0,50.0,6
ITMA,2026-01-22,2,1,13.6564,2270.0,33.3,12
KICI,2026-01-22,2,2,50.0,236.0,66.7,3
NASI,2026-01-22,1,3,55.1181,127.0,50.0,4
ARGO,2026-01-23,3,1,19.0476,1260.0,40.0,5
EMAS,2026-01-23,2,1,19.8381,6175.0,66.7,3
ESIP,2026-01-23,1,1,11.3636,88.0,100.0,2
IFII,2026-01-23,1,3,10.7143,280.0,66.7,3
IKAN,2026-01-23,3,1,16.5289,121.0,50.0,4
KAQI,2026-01-23,1,1,43.8356,73.0,66.7,3
KICI,2026-01-23,3,1,50.0,236.0,50.0,4
NASI,2026-01-23,2,2,68.595,121.0,40.0,5
ZATA,2026-01-23,1,6,16.0377,106.0,40.0,5
CHEM,2026-01-26,3,10,10.9091,110.0,33.3,6
ELIT,2026-01-26,3,4,13.9241,316.0,60.0,5
ESTI,2026-01-26,3,5,18.6275,204.0,40.0,5
GOLF,2026-01-26,2,1,14.6199,342.0,66.7,3
IFII,2026-01-26,2,2,15.6716,268.0,50.0,4
INAI,2026-01-26,1,1,24.7863,234.0,66.7,3
LAJU,2026-01-26,1,1,38.2022,89.0,100.0,2
NASI,2026-01-26,3,1,71.4286,119.0,33.3,6
NPGF,2026-01-26,1,1,11.4286,70.0,36.4,11
TOSK,2026-01-26,3,1,10.0,70.0,50.0,4
